specific,general
erp danismani,
sayac okuma,
iskur personeli,
kasa personeli (full),
magaza gorsel uzmani (full),
tedarik kalite kontrol,
triko orme,
uretim takip sorumlusu,
kidemli bayi gelistirme uzmani,
uretim muduru asistani,
organizasyonel gel.yoneticisi,
insan kaynaklari grup muduru,
organizasyonel gelisim yonetic,
yetenek yoneticisi,
surec tasarim ve iyilestirme y,
surec gel ve olc. yoneticisi,
egitim ve calisma iliskileri,
kalite takim uyesi,
cagri merkezi musteri temsilci,
industrial engineer,
ucak bakim,
guvenlik,
satis operasyon,
operasyon yetkili yrd.,
muhasebe uzmani,
gorsel tasarim kidemli uzmani,
gorsel tasarim muduru,
gorsel tasarim direktoru,
pazarlama & gorsel tasarim mud,
gorsel tasarimdan sorumlu bsk.,
egitim destek personeli,
center of expertise specialist,
organizational development,
employee development assistant,
kasa ve satis destek,
lab. teknisyeni,
egitim uzmani,
egitim ise alim ozluk,
experienced,
consulting,
sales director,
franchise director,
finans direktoru,
finans muduru,
bakimci,
ers,
tax intern,
tercuman,
muhendis,
makine opr.,
product & supervisor,
hr kalite sorumlusu,
kalite uzmani,
yonetim sistemleri uzmani,
ise alim danismani,
ik asistani,
kurumsal iletisim muduru,
kurumsal iletisim kidemli uzm,
is surecleri uzm yrd,
proje stajyeri,
consumer and market manager,
marketing res.and cons. in.sn,
rec.cons,
stilist yardimcisi,
stajyer grafiker,
urun yonetim uzmani,
satin alma uzmani,
mt magaza,
assistant brand manager,
marketing specialist,
brand manager,
lojistik kordinator,
depo destek,
planlama muduru,
ekip sefi,
denetci yardimcisi,
gorsel duzenleme uzmani,
adresleme personeli,
kontrol sefi,
imalat mudru,
inspektor,
isveren,
idari ve mali isler sorumlusu,
magaza gorsel personeli (part),
depo urun alim personeli,
online marketing manager,
marketing manager,
digital  marketing mres.,
ltd.sti.,
ogretim gorevlisi,
on muhasebe uzmani,
e-ticaret depo personeli,
junior designer,
designer,
sr. buyer,
bahcevaan,
ihracat operasyon usmani,
satis ve musteri iliskileri,
kimya lab. sorumlusu,
on kabul operatoru,
urun uzman yrd,
stratejik planlama uzmani,
teknik proje lideri,
finans uzmani,
operator yardimcisi,
product mg traniee,
kabin amiri,
terzi asistani,
ride operator,
personel sefi,
kidemli mudur,
ic denetim muduru,
kidemli uzman,
mufettis yardimcisi,
depo memuru,
organizasyon elemani,
pazar arastirma elemani,
ajans elemani,
yonetici asistanligi,
guvenlik gorevlisi,
kalite guvence asistani,
imalat muduru,
acente yoneticisi,
kalite denetcisi,
magazacilik uzaktan izleme per,
uzman teknisyen,
sigorta takip,
kargo personeli,
sevkiyat gorevlisi,
uzman yardimcisi(sn),
iktisat ogretmeni,
teknik isler ve bakim yonetici,
buying sea,
commercial clothing director,
product director,
kooperatid,
arcadia fashions businesmanag.,
acting bus. director,
middle east sale manager,
merchandisse maneger,
project merchandiser,
inspektor,
ik stajyeri,
bakim onarim,
bakim destek elemani,
satis,
akademi mudur yrd.,
kayip onleme uzmani,
hakedis muhendisi,
uzm. mimar,
birim yoneticisi,
departman yoneticisi,
usta ogretici,
yardimci modelist,
denim tasarimcisi,
marka sorumlusu,
denim tasarimci,
denim dokuma tasarim,
gorsel tasarim uzmani,
fotografci,
icerik editoru,
part time sd,
part time satis danismani,
part - full satis danismani,
gorsel danisman,
buyer sn,
buyer/planner sn,
kimya laboratuar,
optimizasyon personeli,
asrs urun alim personeli,
arsiv gorevlisi,
depo sevkiyat,
cizim-bilgi islem,
bilgi islem,
planlama ve bilgi islem,
junior st.eng.,
design eng.,
incpector,
uretim denetim,
sirket sahibi,
ucretli ogretmen,
erkek bolum muduru,
bolge satis muduru,
styling asistant,
kostum sefi,
gorsel magazacilik sorumlusu,
katagori muduru,
interational merchandise,
bayi satis,
filo satis,
acente ve sistem yont.,
musteri iliskileri koordinator,
satinalma ve ithalat uzm,
fabrika muduru,
planlama ve satinalma yonetici,
kategori satinalma uzmani,
arabulvar katagori uzmani,
saw magaza mudur yrd.,
katagori uzmani,
audi pazarlama stajyeri,
finansal rapr.ve kont. uzm yrd,
satis analisti,
planlama ve teknik muhendisi,
sirket ortagi,
kalite guvence elemani,
kalite operatoru,
kurumsal iletisim uzmani,
kidemli kurumsal iletisim uzma,
kidemli kurumsal sponsorluk uz,
kidemli dijital iletisim uzman,
dis haber editoru,
haber editoru,
editor,
lisanslama uzmani,
satis uzmani,
sn merchandiser,
koordinator,
jr tasarimci,
merch,
modelist egitmen,
gorsel duzenleme yonetici,
stil danismani,
crm stajyeri,
e-ticaret operasyon iskur,
e-ticaret operasyon uzman yard,
e-ticaret kategori yon. uzm.jr,
e-ticaret urun satis uzmani,
isletme muduru,
uretim planlama muduru,
idari isler muduru,
kasa personeli (part),
inspektor,
sn auditor,
s. graphic/fashion,
proje yoneticisi/takim lideri,
seo danismani,
is gelistirme uzmani,
seo& dijital pazarlama uzmani,
kidemli ik uzmani,
bolge ik sorumlusu,
bolge ik uzmani,
ik uzmani,
ik egitim gorevlisi,
moelist,
modalhane sorumlusu,
head designer,
sn designer,
jn designer,
bordro ve ozluk uzmani,
isg uzmani,
vitrin ve gorsel duzenleme sor,
moda editoru asistani,
baski uzmani,
grafiker & baski uzmani,
desen tasarimcisi,
satinalma asistani,
web editor,
hr management consultant,
insaat sorumlusu,
elektrik muhendisi,
conservative designer,
senior designer,
uretim muhendisi,
insan kaynaklari muduru,
insan kaynaklari direktoru,
satis destek elemani,
butce planlama uzmani,
butce planlama sorumlusu,
genel muhasebe uzmani,
raporlama uzman yardimcisi,
finansal kontrol yoneticisi,
santiye uygulama uzmani,
mimari planlama,
proje supervisor,
proje teknikeri,
cagri merkezi personeli,
depo gorevlisi,
mali isler stajyeri,
sarkuteri elemani,
secme yerlestirme uzmani,
ise alim ve egitim uzmani,
it stajyer,
veri giris elemani,
muhasebe ve finans uzm yrd.,
callcenter eleamn,
bilgisayar isletmeni,
ik uzman yardimcisi,
satis hostesi,
finans stajyeri,
dis ticaret muduru,
crm elemani,
kredi ve istihbarat personeli,
mali isler donemsel eleman,
sat ve paz  sat al.& fin&muh,
muhasebe uzman yard,
finans departmani stajyeri,
muhasebe uzm yrd.,
muhasebe uzman yardimcisi,
satis yoneticisi,
magaza satis personeli,
doktor asistani,
musteri temsilcisi asistani,
uzman avukat,
lojistik sefi,
sevkiyat depo sefi,
ozel guvenlik gorevlisi,
finans danismani,
surec danismani,
od uzmani,
kidemli satin alma uzmani,
satinalma ve idari isler mudur,
dis ticaret kidemli uzmni,
urun muduru,
makam soforu,
vm supervisor,
company owner,
musteri danimani,
planlama uzman yardimcisi,
asci yardimcisi,
polis basmufettisi,
antrenor,
emniyet mudur mudurlugu,
sube muduru,
karakol komutani,
emniyet amiri,
komiser,
founder/ceo,
head of business opportunities,
head of merchandising,
sn merchandice planner,
regional sales manager,
store planner,
strategic planning,
supply planning,
account manager,
proje takip asistani,
operasyon destek,
bolge mudur yardimicisi,
sat komando astsubay,
mutfak,
saha tanitim,
makale yazari,
ogrenci isleri yetkilisi,
pazarlaam uzmani,
produksiyon uzmani,
grafik tasarimcisi,
utucu,
jr marketing sp,
br. str. sp.,
planning and purchasing manage,
purchasing executive,
mid buyer,
kumas satin alma uzmani,
tuko depo,
kontrol,
depo yoneticisi,
tedarik zinciri sorumlusu,
uretim planlama yoneticisi,
uretim planlama sorumlusu,
regions manager,
store sales specialist,
account specialist,
koleksiyon takip sorumlusu,
tour leader,
receptionist,
sanat arsivi asistani,
uluslararasi ilskiler elemani,
assistant buyer,
teknik sef,
uretim planlama elemani,
uretim personeli,
analist,
ic mimarlik,
proje ve ofis stajyeri,
maliyet muhasebesi uzmani,
cari hesap sorumlusu,
muhasebe memuru,
muhasebe sefi yard.,
muhasebe gorevlisi,
marketing manager asistant,
print designer,
freelance graphic designer,
corporate c.assist.manager,
internal communications coordi,
internal communications senior,
event marketing and sponsorshi,
public relations assistant dir,
yonetiici sekreteri ve muhaseb,
senior accountant,
chief assistant,
denetimci,
sn brand  manager,
project manager,
researcher,
kalite kontrol sefi,
is sagligi ve guvenligi uzmani,
risk uzmani,
plant engineer,
trainee,
senior merchandiser,
senier product manager,
dijital pazarlama uzmani,
online pazarlama uzmani,
medya arastirma muduru,
medya musteri iliskileri mudur,
satis ortaklari muduru,
kurucu ortak & genel mudur,
kurucu ortak,
tektsil muhensisi,
tekstil muhendisi,
uzman muhendis,
kumas satinalma sorumlusu,
aktif pazarlama,
dokuma kumas tedarik sorumlusu,
endustri muhendisi,
montaj elemani,
payments and transfers officce,
sales operations specialist,
category specialist,
erp consultant,
uluslararasi planlama uzmani,
lojistik uzman yardimcisi,
yikama ve boyahane mudru,
tasarim mudru,
satis muhendisi,
yikama boyama sorumlusu,
urun gelistirme muhendisi,
maliyet planlama,
hr&training specialist,
project managament specialist,
business  analyst,
kidswear buyer,
designer_jr,
merchandiser assistant,
kalite guvence muhendisi,
kalite guvence sorumlusu,
imalet ve uretim planlama mudu,
imalata planlama muduru,
tekstil muhendisi,
teknik mudur yr.,
magaza planlama uzmani,
dijital pazarlama yoneticisi,
adwords hesap yoneticisi,
cad konstruktoru,
depo muduru,
satin alma yoneticisi,
satin alma uzman yardimcisi,
recruitment manager,
hr assistant manager,
recruitment consultant,
teknik cizim uzmani,
mekanik teknikeri,
director,
direktor yardimcisi,
urun muduru yardimcisi,
owner,
kalite muhendisi,
satinalama uzmani,
aksesuar satin alma sorumlusu,
kidemlu urun teknologu,
ic denetim uzmani,
ic denetci,
surec denetmeni,
performans degerlendirme uzman,
ust duzey yonetici asistani,
veri giris uzmani,
senior merchandiser,
techinal managar asistant,
financal decision support man.,
financal brand analyst,
experienced senior associate,
audit assistant,
sn. merchandiser,
strategy&business development,
sap sd danismani,
kritik plan uzmani,
garment technologist,
allocatier,
sn.budget-marketing specialist,
kargo uzmani,
planlama maliyet butce uzmani,
analiz ve raporlama uzm.trd.,
gise yetkilisi,
junior  planner,
genel muhasebe sorumlusu,
stok kontrol elemani,
depo iscisi,
genel muhasebe asistani,
ik stajyeri,
guzellik uzmani,
cagri merkezi elemani,
resersiyonist,
resepsiyonist,
musteri hizmetleri temsilcisi,
elektrik bakim teknikeri,
restoran 2. mudru,
deniz operasyon elemani,
temizlik gorevlisi,
editor yardimcisi,
ithalat-ihracat elemani,
merchandise allocator,
head of merchandising team,
winmax product manager,
asistant store manager,
ihracat musteri teomsilcisi,
kalite alan yoneticisi,
desen bolum sefi,
arge tasarim sorumlusu,
buying direktor,
senior buyer,
satis pazarlama uzmani,
merchandser,
junior buyer,
kidemli butce raporlama uzmani,
denetim sefi,
denetim asistani,
bireysel guvence danismani,
servis elemani,
sn.buyer,
urun kalite muduru,
kalite sistem uzmani,
pit crew,
isletme muhendisi,
urun-fit teknikeri,
musteri temsilciligi,
section manager,
operation assistant,
hotel officer,
stok kontrol uzmani,
organizational development sp.,
ik asistan,
costumer success lead,
yeminli tercuman(serbest),
denetim elemani,
ithalat-ihracat sefi,
yurtdisi islemler sorumlusu,
bordro ve ozluk isleri uz.yrd.,
garment teknoloji,
kalip elemani,
sn.planlama uzmani,
satis grup lideri,
sevkiyatci,
lojistik uzmani,
musteri hizmetleri yetkilisi,
tedarik zinciri uzmani,
planlama uzman yrd.,
satis pazarlama koordinatoru,
planlama yoneticisi,
magaza kategori yoneticisi,
creative producer,
depo supervisor,
musteri iliskileri sorumlusu,
bayi kanali sorumlusu,
job experience,
cmo asistani,
creative manager asistant,
konferans cevirmeni,
teacher asistant,
aksesuar satunalma & safha pla,
kumas planlama,
must.tems.-grup lideri,
kid.musteri temsilciligiligi,
project development,
process development&quality,
process development specialist,
modelhane sefi,
modalist,
akesuar departman mudur,
accesories buyer and merchndsr,
direktor asistani,
planlama uzm yard,
asistant merchandiser,
production asistanr merch,
sr.production chief,
sr.merchandise planner,
process development manager,
cluster manager,
merchandise planning manager,
store sales representavive,
deputy marketing manager,
sourcer-brand executive,
genel mudur asistani,
planlama asistani,
ihracaat mus temsilcisi,
kidemli musteri temsilcisi,
urun yonetimi yetkilisi,
fabric product assistant,
ithalat uzman yardimcisi,
bordro ve ozluk isleri elemani,
aktif pazarlama yetkilisi,
stand elemani,
yurt disi operasyon sorumlusu,
i.k stajyeri,
graduate assistant,
resepsiyon sefi,
memur,
planlama mudur yardimcisi,
stilist yardimcisi,
buying manager,
countr responsible,
denim fabri and washing teckno,
reyon yoneticisi (cocuk),
insaat teknikeri,
kurumsal satis uzmani,
gayrimenkul danismani,
insaat muhendisi,
planlama egitim uzmani,
senior merchandiser planner,
sn.product merchandiser,
musteri kordinatoru,
akim lideri yardimcisi,
finans ve hazine uzmani,
kidemli sef,
group plc,
isletme gelistirme muhendisi,
isletme gelistirme yardimcisi,
kutuphane gorevlisi,
ust duzey mal planlayicisi,
urun yoneticisi asistani,
organizasyon,
collezion-planlama sorumlusu,
import manager,
water project,
tuberculosis & malaria,
ihracat-musteri temsilcisi,
ihracata yonelik devlet destek,
laboratuvar elemani,
arge laboratuvar uzmani,
dis kaynak tedarik uzmani,
tic.ltd.sti. satinalma uzmani,
lojistik planlama sorumlusu,
iletisim danismani,
planlama strateji ve surec uzm,
allocation strateji surec uzm.,
planlama strateji ve surec,
merkezi planlama uzman yardim.,
satis gelistirme sorumlusu,
is gelistirme-satin alma,
assistant merchandiser,
production merchandiser,
kumas tedarik sorumlusu,
fason uretim uzmani,
category manager,
senior mercandiser,
urun gelistirme ve kaynak uzm.,
ayakkabi tedarik yoneticisi,
ayakkabi tedarik sorumlusu,
bireysel portfoy yetklilisi,
experienced senior,
financial control supervisor,
marka ve lisans yoneticisi,
merchhandiser,
kumas planlama sorumlusu,
assistant to ceo,
assistant to vice president,
ladies buyer,
ladies non-denim buyer,
assitant merchandiser,
development merchandiser,
kumas satin alma sorumlusu,
satis pazarlama sorumlusu,
merchandiser asistani,
ithalat musteri temsilcisi,
egitim teknologu,
e-ticaret uzmani,
kategori uzman yardimcisi,
finans direktoru,
kurumsal pazarlama muduru,
gorsel duzenleme sorumlusu,
kostum sorumlusu,
moda editoru,
gorsel duzenleme asistani,
operasyon muduru,
muhasebe ve finans yoneticisi,
on muhasebe gorevlisi,
kidemli merdhandiser,
aksesuar sorumlusu,
musteri temsilcisi yardimcisi,
uretim yetkilisi,
satin alma-urun takipsorumlusu,
satin alma-urun yon. sorumlusu,
yari zamanli eleman,
styling asistani,
tasarim,
satin alma-planlama sorumlusu,
kimya ogretmeni,
bahcivan,
otobus yikama,
satik direktoru yardimcisi,
toptan satis sorumlusu,
ithalat ihracat elemani,
planlama muhendisi,
buying director assistant,
satis pazarlama sefi,
denetim uzmani,
satin alma sorumlusu,
muhasebe ve finans elemani,
international store planner,
tasarim direktoru,
kostum-dekor tasarim asistani,
junior tasarimci,
planning specialist,
fabric purchasing specialist,
production planning specialist,
hasta danismani,
yardimci antrenor,
merkez destek elemani,
lojistik kordinatoru,
kalite sistemleri dokumantasyon,
yatirim uzman yardimcisi,
analist yardimcisi,
assistant designer,
fashion designer,
designer asistant,
t-box  designer  asistant,
tasarim stajyer,
cluster planning&product,
internatioanel store,
corporate sales systems,
merchandiser planner,
aktif satis,
purchasing&supply,
textile production engineer,
cashier,
yurtdisi projeler yoneticisi,
yurtdisi projeler takim lideri,
yurtdisi projelerlideri yar.,
cross border sourcing,
supply chain responsible,
cluster product&planning,
retail product&planning,
fabric technologist,
merchandiser (senior level),
merchandiser (medium level),
merchandiser (junior level),
kidemli merchandiser,
uluslararasi satis sorumlusu,
pazarlama muhendisi,
marketing and brand manager,
market research maneger asista,
press and public relations,
marketing assistant,
ithalat ihracat sorumlusu,
regional financial controller,
financial analysis-planning,
senior financial analysis,
financial analysis specialist,
assistant financial analysis,
assistant,
senior category planning,
strategic financial planning,
business analyst,
denim tasarimcisi,
jr. designer,
planing intern,
product design asistant,
product merchandiser,
pazarlama uzman yardimcisi,
expert merchandiser,
senior assistan buyer,
merchansider,
urun tasarimcisi,
kat hizmetleri asistani,
strateji ve is gelistirme,
proje kontrol muhendisi,
proje satis muhendisi,
muhendislik proje yoneticisi,
planlama-koordinasyon,
saha satis ve stant gorevlisi,
studyo asistani,
produksiyon yoneticisi,
studio manager,
compensation&benefits&premium,
human resources specialist,
transferr coordinator,
planning support,
insaat isleri yoneticisi,
ince isler sorumlusu,
audit,
kategori yoneticisi,
marka yoneticisi,
satin alma ve tedarik sorumlus,
marka musteri temsilcisi,
basin ve halkla iliskiler,
product developer,
design associate,
tedarik sorumlusu,
chemistry laboratory chief,
grafik tasarim birim sorumlusu,
gorsel tasarim grafikeri,
muhasebe sefi yardimcisi,
idari isler gorevlisi,
personel ozluk isleri uzmani,
personel memuru,
personel ozluk isleri elemani,
system analyst,
net developer,
pazarlama danismani,
depo kontroloru,
lojistik birim yoneticisi,
depo koordinatoru,
satis yetkilisi,
satis mudur yardimcisi,
sanat asistani,
sanat yonetmeni asistanligi,
satjyer,
proje muhendisligi,
satin alma ve lojistik muduru,
lojistif sefi,
merchandiser allocator,
is gelistirme&proje yoneticisi,
kurumsal iletisim ve pazarlama,
isletme sahibi,
aksesuar satin alma yoneticisi,
urun kontrol,
veri analiz uzmani,
ogrenme ve gelisim yoneticisi,
liderlik ve yetkinlik gelisimi,
egitim ve gelisim yonetmeni,
performans danismani,
egitim kidemli uzmani,
toplama personeli,
dikim personeli,
senior assistant merchandiser,
wings team member,
planning engineer,
freelance translator,
private lesson teacher,
fotografci ve kasiyer,
seyahat koordinatoru,
insan kaynaklari uzman yar.,
farkindalik degisim kocu,
turquality uzmani,
tesvik uzmani,
finansal danisman,
ithalat ihracat musteri t.,
executive assistant,
assistant director,
operasyon yetkilisi,
finans sorumlusu,
bolum sefi,
kalite sorumlusu,
sube sorumlusu,
ik uzman yardimcisi,
insan kaynaklari elemani,
idari asistani,
musteri hizmetleri gorevlisi,
surec gelistirme uzmani,
executive assistant,
department asisstant,
office manager,
corporate marketing speacialis,
activewear designer,
woven bottom designer,
swimwear designer,
traniee designer,
vitrin ve gorsel duzenleme,
management intern,
tekstil teknikeri,
uretim planlama elamani,
planlama elamani,
quality assurance manager,
regional represantative,
dis ticaret operasyon uzmani,
dis ticaret uzman yardimcisi,
hava kargo operasyon yetkilisi,
recruitment specialist,
human resources assistant,
od account manager,
process specialist,
project&process consultant,
process management consultant,
consultant,
event organizer,
satis destel elemani,
uzman satis danismani,
uretim takip elemani,
gise yetkili yardimcisi,
urun teknologu,
vitrin gorsel sorumlusu,
gorsel tasarim sorumlusu,
resim ogretmeni,
tahsilat temsilcisi,
genel muhasebe elemani,
oda servisi,
senior marketing communication,
social media executive,
marketing communication,
account management intern,
performance marketing lead,
app & digital marketing lead,
digital marketing manager,
marketing development manager,
project manager intern,
insan kaynaklari yetkilisi,
imalat yoneticisi,
triko uretim sorumlusu,
eccounting specialist,
audit assistant,
a member of legrand group,
brand communication specialist,
sn manager,
process management group manag,
merhandiser asistani,
ticari fonksiyonlar gelisim uz,
satis ve urun yonetimi uzm,
ris assurance services,
strategy and transformation,
finance division finance ast.,
laboratuvar teknisyeni,
travel agency manager,
active marketing chief assista,
export marketing specialist,
kidemli uzman,
buyer sn,
urun yonetimi uzmani,
urun uzmani,
assurance,
inspektor,
uzman finansal danismani,
finansal raporlama uzmani,
satis ve pazarlama,
bireysel bankacilik prtfoy tem,
tedarik zinciri uzm yrd,
risk ve uyum uzmani,
gonullu backstage sorumlusu,
kostum tasarimcisi,
muhasebe ve finans sorumlusu,
bordro ve ozluk isleri uzm,
insan kaynaklar uzmani,
ceo,
administration assistant mangr,
musteri hizmetleri muduru,
egitim operasyon yoneticisi,
helpdesk uzmani,
kumas teknologu,
is guvenligi teknikeri,
is guvenligi uzmani,
internal controller,
card settlemen & operation,
corporate banking,
costomer relations team leader,
sales and markenting manager,
merchandiser senior,
assistant to general maneger,
satis proje yoneticisi,
corporate relations specialist,
financial analyst,
management trainee,
urun gelistirme asistani,
assistant roject manager,
arkas nakliyat ve ticaret as.,
dijital pazarlama,
hesap yoneticisi,
dijital proje yoneticisi,
retail merchandising manager,
buying manager,
tuquality uzmani,
assistant tax audit,
internal auditor cpa,
internal audit review and inve,
senior internal auditor cpa,
internal audit manager cpa,
controller,
gorsel duzenleme yoneticisi,
gorsel guzenleme uzmani,
laboratuvar tekknisyeni,
student teacher,
demand planning speacialist,
category speacialist,
international store planner,
product planning intern,
idari isler elemani,
operasyon uzmani,
lojistik planlama uzmani,
is gelistirme stajyeri,
e-ticaret katogari asistani,
magaza planlamacasi,
digital pazatlama mudur yard,
digital pazarlama muduru,
maliyet kontrol uzmani,
fason kalite kontrol elemani,
ihracaat musteri temsilcisi,
uretim takip ve kalite k. sorm,
satinalma ve uretim takip uzm,
satin alma ve uretim takip sor,
kidemli s.alma ure.tak.sorumsu,
kidemli satinalma uzmani,
tasarim yoneticisi,
import and export customs spec,
beymen magazacilik,
bakim onarim  sorumlusu,
formenyardimcisi,
kidemli satin alama uzmani,
satin alam uzmani,
proje bazli part time,
uretiim staji,
international budget and produ,
malzeme planlama uzmani,
urun yonetim uzman yardimcisi,
merchandise&budget planner,
planalama uzmani,
yurtici ve yurtdisi urun planl,
magaza ve urun planlama,
is yuku olcme stajyer,
merchindiser,
proje muhendisi,
ihracat sorumlusu,
ithalat ihracat stajyeri,
ingilizce ogretmenligi,
matematik ogretmenligi,
urum muduru,
y.ici butce ve urun planlama u,
e-ticaret planlama uzm,
e-ticaret planlama yoneticisi,
planlama ve raporlama uzmani,
senior merchandise planner,
international merchandise plan,
commercial planner,
purchasing and planning assist,
yurt disi tedarik yetkilisi,
teknoloji yoneticisi,
egitim tekn. uzmani,
teknoloji uzmani,
marka uzmani,
akademik koordinator,
ar-ge stajyeri,
merchidise allocatior,
finansal kontrol uzmani,
asistant supervisor,
yazilim stajyeri,
smmm stajyeri,
bilirkisi,
ride operator,
tedarik zinciri asistani,
uretim planlama stajyeri,
foreign trade assistant,
uzman danisman,
idari isler personeli,
elektrik isleri sefi,
elektrik sefi,
havuz gorevlisi,
senior asistann tasarimci,
hr business partner,
international recruitment,
hr recruitment specialist,
planner mid,
uye iliskileri sorumlusu,
tax auditor,
bugdet&reporting specialist,
senior financial controller,
assistant planning director,
bolge satis temsilcisi,
donemsel proje elamani,
yurtdisi satis sorumlusu,
allocator,
planning strategy and process,
pricing department manager,
insan kaynaklari is ortagi,
psikolog,
senior accounting specialist,
certified public accountant,
accounting and reporting,
general accounting specialist,
magaza destek personeli,
industrial designer,
senior internol auditor,
accounting&tax&treasury spec,
financial operations responsi,
personel muduru,
idari isler sefi,
idari personel,
insan kaynaklari sefi,
mali isler asistani,
mali isler elemani,
project assistant man.and res,
internship,
baskonsolos asistani,
idari mudur yardimcisi,
ithalat sorumlusu,
head of merhandise planning,
retail product and plan.managr,
yurtdisi magaza planlama,
yurtdisi magaza planlama uzman,
allocatior,
city planner,
marketing intern,
urun aokasyon uzmani,
satin alama uzmani,
e commerce spesialist,
retail marketing spesialist,
retail marketing asistant,
ik ve idari isler sorumlusu,
ik ve egitim uzm yardimcisi,
ik ve ozluk isleri gorevlisi,
birim gorevlisi,
production engineer,
woman shoes_n buyer,
gumruk musavir yardimcisi,
ucretlendime ve yan haklar u.y,
uretim planlama uzmani,
planlama alokasyon uzm yrd,
jr store planner,
urun planlama ve alakasyon uzm,
satis ve butce planlama uzm,
satis ve planlama analiz sefi,
satis analist yardimcisi,
satis destek personeli,
revenue reservation,
data entry team leader,
butce kontrol stajyeri,
kalite yonetim stajyeri,
stajyer grafiker,
freelance grafiker,
aksesuar satinalma yoneticisi,
yurtdisi pazarlama sorumlusu,
basin ve halkla iliskiler asis,
inspector,
uretim planlama muhensidi,
kidemli buyer,
karar destek uzmani,
fiyatlandirma uzmani,
is analisti,
stajyer yazilim muhendisi,
urun operasyon uzmani,
isletme yoneticisi,
store planner senior,
pazar marka sorumlusu,
finans uzmani sn,
assistant specialist,
kidemli kumas teknologu,
kumas teknologu,
planlama ve satin alma uzmani,
bas denetci ve egitmen,
lead auditor,
proses muduru,
planlama ve lojistik sefi,
kategori   asistani,
kategori   uzmani,
kurumsal satis,
buying maneger,
knitwear buyer,
jersey buyer,
bord.ve ozlk.isle.uzm yard,
urun yoneticisi yardimcisi,
yonetici yardimcisi,
butce ve raporlama uzmani,
kidemli planlama uzmani,
yonetmen yardimcisi,
ic denetim yetkilisi,
moda tasarim staji,
reklamcilik ve pazarlama,
secretary,
iplik dokumaya hazirlik ve arm,
orme staji,
parca baski staji,
jakar dokuma staji,
head of publishers,
marketing consultant,
founder,
managing partner,
auditor,
oline news editor,
intereship,
head of digital,
product responsible,
senior buyer,
assistan buyer,
logistics department,
brand management deoartment,
trade marketing specialist,
market research analyst,
crm analyst,
traine,
senior merchandiser,
manager/director,
accounting and finance res,
pazarlama stayeri,
sistem destek stajyeri,
stajyer mudendis,
merchandiser-marketing departm,
asistant of coordinator-volunt,
quality management system,
quality cpntrol,
asistant designer,
planlama ve alokasyon uz.yrd.,
it analyst,
ambulans hemsiresi,
acil servis hemsiresi,
barista,
e-ticaret,
bolum baskani asistani,
insan kaynaklari stajyeri,
fatura kayit elemani,
musteri iliskileri asistani,
acenre musteri temsilcisi,
supply chain manager,
merchandiser-menswear,
shift supervisor,
grup kategpri muduru,
ayakkabi-canta-kozmatik-spor m,
kadin kategrofi yoneticisi,
marketing&planlama sorumlusu,
magazalar operasyon sorumlusu,
senior allocator and stock pla,
category&sales specialist,
customer relatioans&marketing,
second manager of kids departm,
merchandise planner-allocator,
stok kontrol ve planlama uz,
stok kontrol ve kidemli planla,
kontuar sorumlusu,
talent management specialist,
organizational development spe,
human resources intern,
gonullu stajyer,
musteri servis yonetici asista,
finansal raporlama ve kont uzm,
merchandiser (jr),
uluslararasi paz. urun mud.,
engineer,
asistant buyer,
musteri iliskileri ve e-ticare,
inbound operasyon muduru,
cagri merkezi operasyon muduru,
cagri merkezi muduru,
musteri iliskileri yoneticisi,
training and development speci,
store manager/director assista,
asistant consultant,
contracted organizations respo,
assistant secretary,
senior merhandiser planner,
junior commercial planner,
junior store planner,
merchandise allocator speciali,
muhasebe personeli,
dokumantasyon sorumlusu,
tanitim destek sorumlusu,
makine muhendisi,
musteri asistani,
e-ticaret urun ve satis sorum.,
saha supervizor,
arge muhendisi,
ar-ge koordinatoru,
grafiker baski sorumlusu,
uretim muhendisi asorti bol.s.,
ucus hostesi,
costing & lean engineering mng,
product merchandise,
textile marketing specialist,
product merhandiser,
accountant,
marketing manager assistant,
satis destek muduru,
kurumsal satis mud.,
pazarlama birim yoneticisi,
musteri gelistirme yoneticisi,
bolge insan kaynaklari uzmani,
global load control agent,
education volunter,
kalite kontrol gorevlisi,
fason uretim sorumlusu,
fason muduru,
fason takip sorumlusu,
model makinaci,
katagori yoneticisi,
marketplace giyim katagori yn.,
web gelistirme uzman yardimcis,
is gelistirme asistani,
satis ve pazarlama franch.yon.,
tedarik muduru,
satin alma ve pazarlama muduru,
ogrenci asistani,
butce ve raporlama uzmnai,
finansal kont. ve ic den.yon.,
junior manager finansal cont.,
senior tax auditor,
reporting experienced associte,
trainee,
isletme sorumlusu,
e-ticaret stajyer,
tasarim asistani-gonullu stajy,
personel sorumlusu,
santiye staji,
arastirma staji,
production executive,
import export assistant,
import export senior assistant,
export customer representative,
pazarlama elemani,
kategori asistani,
sales consultant,
ofisboy (gonullu),
muhasebe stajyer,
kidemli bilgi giris operatoru,
beslenme ve metab. lab. staj.,
biyokimya lab. staji,
kalite stajyeri,
arsiv sorumlusu,
stajyer editor,
sosyal medya asistani,
aktif pazarlama direktoru,
fabrika women dept. desg. ass.,
urun satinalma kategori sorm.,
internet market & opr. spec.,
sales support & market spec.,
affiliate manager,
is gelistirme direktoru,
bolge koordinatoru,
operasyon supervizoru,
radyo programcisi,
